time,content,liked_count,comment_count,from,emotion_type,content_length,score
2025-01-29 15:17:06,目前看到，哪吒2说好看的人最多,1090,132,抖音,normal,15,
2025-01-30 20:25:41,绝对比第一部好看！好看！好看！好看！全程无尿点，两小时一转眼就过去了。画面绝对震撼、打斗超级过瘾，殷将军那段眼泪没控住。结局那几张水墨丹青画，美绝了！这才是中国文化爆裂输出！,4464,81,抖音,normal,87,
2025-01-30 21:02:08,还有还有！哪吒以为陈塘关被龙族屠了的时候我第一反应是哪吒冲去东海找龙族算账，什么都不管不顾就给我杀的那种，结果哪吒第一时间先去完成第三个考核，先把敖丙救活，这一点真的，他真的成长了！！,1410,16,抖音,normal,92,
2025-01-30 20:50:27,一个是封神 一个西游记舔屏二个不同小说也能混淆一起的赞赞真才看看,115,11,抖音,normal,32,
2025-01-30 19:27:17,我个人是很喜欢这个版本的哪吒，比小时候版本的性格更鲜明。,46,4,抖音,normal,28,
2025-01-30 20:20:49,申公豹和李靖，洗白白暗中观察，不过确实挺好看的，情节紧凑不拖沓，很燃,51,8,抖音,normal,34,
2025-01-30 23:07:32,这场大战失去的只有我的母亲流泪,31,3,抖音,normal,15,
2025-01-30 14:43:40,如果春节电影档只能选一部来看的话，选哪一部？,552,326,抖音,normal,22,5
2025-01-30 22:22:02,今天看了确实看出来了是大制作，而且也很用心，唯独剧情有瑕疵，有的剧情转折主要人物的登场挺突兀的，其次是有几句台词感觉情感没烘托到位，不过整体来说也已经是非常好的了赞,579,42,抖音,normal,82,
2025-01-30 19:16:37,我感觉后半截拖沓，剧情老头出来就猜到反派了，表达亲情的煽情部分吧，觉得一般,2,4,抖音,normal,37,
